jaar;variabele;gem;SD;bron
2022;BEVOPLBASIS_P;22.0;9.5;sdgeb22
2021;BEVOPLBASIS_P;22.0;9.708;sdgeb22
2020;BEVOPLBASIS_P;23.0;9.265;sdgeb22
2019;BEVOPLBASIS_P;23.0;8.778;sdgeb22
2018;BEVOPLBASIS_P;24.0;9.387;sdgeb22
2017;BEVOPLBASIS_P;24.0;8.868;sdgeb22
2016;BEVOPLBASIS_P;24.0;11.773;sdgeb22
2015;BEVOPLBASIS_P;25.0;13.334;sdgeb22
2014;BEVOPLBASIS_P;26.0;10.45;sdgeb22
2013;BEVOPLBASIS_P;26.0;10.59;sdgeb22
2012;BEVOPLBASIS_P;27.0;12.095;sdgeb22
2011;BEVOPLBASIS_P;28.0;11.203;sdgeb22
2010;BEVOPLBASIS_P;28.0;11.67;sdgeb22
2022;BEVOPLHBOWO_P;48.0;14.492;sdgeb22
2021;BEVOPLHBOWO_P;48.0;14.517;sdgeb22
2020;BEVOPLHBOWO_P;48.0;14.28;sdgeb22
2019;BEVOPLHBOWO_P;48.0;14.561;sdgeb22
2018;BEVOPLHBOWO_P;47.0;15.907;sdgeb22
2017;BEVOPLHBOWO_P;45.0;15.326;sdgeb22
2016;BEVOPLHBOWO_P;44.0;16.493;sdgeb22
2015;BEVOPLHBOWO_P;43.0;16.352;sdgeb22
2014;BEVOPLHBOWO_P;40.0;14.784;sdgeb22
2013;BEVOPLHBOWO_P;39.0;14.526;sdgeb22
2012;BEVOPLHBOWO_P;39.0;15.02;sdgeb22
2011;BEVOPLHBOWO_P;38.0;14.705;sdgeb22
2010;BEVOPLHBOWO_P;38.0;14.509;sdgeb22
2022;BEVOPLMBO_P;30.0;12.915;sdgeb22
2021;BEVOPLMBO_P;30.0;11.676;sdgeb22
2020;BEVOPLMBO_P;30.0;10.935;sdgeb22
2019;BEVOPLMBO_P;29.0;9.823;sdgeb22
2018;BEVOPLMBO_P;30.0;9.513;sdgeb22
2017;BEVOPLMBO_P;31.0;10.729;sdgeb22
2016;BEVOPLMBO_P;32.0;10.104;sdgeb22
2015;BEVOPLMBO_P;32.0;7.092;sdgeb22
2014;BEVOPLMBO_P;34.0;5.121;sdgeb22
2013;BEVOPLMBO_P;34.0;4.942;sdgeb22
2012;BEVOPLMBO_P;34.0;4.738;sdgeb22
2011;BEVOPLMBO_P;34.0;5.133;sdgeb22
2010;BEVOPLMBO_P;34.0;4.101;sdgeb22
2018;O_AFSTROOM_P;10.0;7.017;sdbc
2017;O_AFSTROOM_P;11.0;6.497;sdbc
2016;O_AFSTROOM_P;11.0;7.316;sdbc
2015;O_AFSTROOM_P;11.0;7.355;sdbc
2014;O_AFSTROOM_P;13.0;7.59;sdbc
2013;O_AFSTROOM_P;16.0;8.518;sdbc
2012;O_AFSTROOM_P;17.0;7.499;sdbc
2011;O_AFSTROOM_P;16.0;8.805;sdbc
2010;O_AFSTROOM_P;15.0;8.621;sdbc
2009;O_AFSTROOM_P;14.0;9.334;sdbc
2022;O_HAVOVWO_P;55.0;17.916;sdbc
2021;O_HAVOVWO_P;54.0;19.462;sdbc
2020;O_HAVOVWO_P;56.0;17.866;sdbc
2019;O_HAVOVWO_P;53.0;17.765;sdbc
2018;O_HAVOVWO_P;52.0;19.538;sdbc
2022;O_OPLPO_L_P;17.0;8.083;sdbc
2020;O_OPLPO_L_P;19.0;8.212;sdbc
2019;O_OPLPO_L_P;19.0;8.669;sdbc
2018;O_OPLPO_L_P;20.0;9.361;sdbc
2017;O_OPLPO_L_P;21.0;10.385;sdbc
2016;O_OPLPO_L_P;22.0;11.036;sdbc
2015;O_OPLPO_L_P;23.0;11.874;sdbc
2014;O_OPLPO_L_P;24.0;12.099;sdbc
2013;O_OPLPO_L_P;26.0;12.801;sdbc
2012;O_OPLPO_L_P;27.0;13.639;sdbc
2022;O_OPLPO_M_P;29.0;10.143;sdbc
2020;O_OPLPO_M_P;29.0;9.931;sdbc
2019;O_OPLPO_M_P;28.0;9.882;sdbc
2018;O_OPLPO_M_P;29.0;9.723;sdbc
2017;O_OPLPO_M_P;28.0;9.816;sdbc
2016;O_OPLPO_M_P;28.0;9.583;sdbc
2015;O_OPLPO_M_P;28.0;9.574;sdbc
2014;O_OPLPO_M_P;29.0;9.267;sdbc
2013;O_OPLPO_M_P;29.0;8.868;sdbc
2012;O_OPLPO_M_P;29.0;8.455;sdbc
2022;O_OPLPO_P;54.0;19.428;sdbc
2020;O_OPLPO_P;53.0;18.973;sdbc
2019;O_OPLPO_P;52.0;19.784;sdbc
2018;O_OPLPO_P;52.0;19.693;sdbc
2017;O_OPLPO_P;51.0;20.61;sdbc
2016;O_OPLPO_P;50.0;20.628;sdbc
2015;O_OPLPO_P;49.0;21.178;sdbc
2014;O_OPLPO_P;47.0;21.298;sdbc
2013;O_OPLPO_P;45.0;21.331;sdbc
2012;O_OPLPO_P;43.0;21.509;sdbc
2022;O_OPLVO_L_P;21.0;10.815;sdbc
2021;O_OPLVO_L_P;21.0;11.301;sdbc
2020;O_OPLVO_L_P;23.0;11.393;sdbc
2019;O_OPLVO_L_P;24.0;11.847;sdbc
2018;O_OPLVO_L_P;26.0;12.856;sdbc
2017;O_OPLVO_L_P;27.0;13.489;sdbc
2016;O_OPLVO_L_P;28.0;15.263;sdbc
2015;O_OPLVO_L_P;30.0;15.665;sdbc
2014;O_OPLVO_L_P;31.0;15.981;sdbc
2013;O_OPLVO_L_P;33.0;16.363;sdbc
2012;O_OPLVO_L_P;35.0;16.006;sdbc
2022;O_OPLVO_M_P;26.0;9.011;sdbc
2021;O_OPLVO_M_P;27.0;8.615;sdbc
2020;O_OPLVO_M_P;27.0;8.38;sdbc
2019;O_OPLVO_M_P;27.0;8.225;sdbc
2018;O_OPLVO_M_P;28.0;7.576;sdbc
2017;O_OPLVO_M_P;28.0;7.361;sdbc
2016;O_OPLVO_M_P;29.0;7.13;sdbc
2015;O_OPLVO_M_P;29.0;7.045;sdbc
2014;O_OPLVO_M_P;29.0;6.472;sdbc
2013;O_OPLVO_M_P;29.0;6.446;sdbc
2012;O_OPLVO_M_P;30.0;5.588;sdbc
2022;O_OPLVO_P;53.0;21.996;sdbc
2021;O_OPLVO_P;52.0;22.573;sdbc
2020;O_OPLVO_P;50.0;20.471;sdbc
2019;O_OPLVO_P;49.0;20.803;sdbc
2018;O_OPLVO_P;46.0;20.508;sdbc
2017;O_OPLVO_P;45.0;20.672;sdbc
2016;O_OPLVO_P;43.0;20.786;sdbc
2015;O_OPLVO_P;41.0;20.72;sdbc
2014;O_OPLVO_P;40.0;20.85;sdbc
2013;O_OPLVO_P;38.0;20.586;sdbc
2012;O_OPLVO_P;35.0;20.212;sdbc
2022;O_VMBOBK_P;20.0;9.618;sdbc
2021;O_VMBOBK_P;22.0;10.648;sdbc
2020;O_VMBOBK_P;20.0;9.439;sdbc
2019;O_VMBOBK_P;23.0;10.823;sdbc
2018;O_VMBOBK_P;25.0;11.801;sdbc
2022;O_VMBOT_P;25.0;5.532;sdbc
2021;O_VMBOT_P;24.0;5.922;sdbc
2020;O_VMBOT_P;24.0;4.989;sdbc
2019;O_VMBOT_P;24.0;4.704;sdbc
2018;O_VMBOT_P;23.0;6.386;sdbc
2023;OAANBODBAO_R;7.3;0.604;sdbc
2021;OAANBODBAO_R;7.3;0.476;sdbc
2019;OAANBODBAO_R;7.2;0.514;sdbc
2017;OAANBODBAO_R;7.3;0.498;sdbc
2015;OAANBODBAO_R;7.3;0.527;sdbc
2013;OAANBODBAO_R;7.1;0.606;sdbc
2011;OAANBODBAO_R;7.1;0.504;sdbc
2009;OAANBODBAO_R;7.0;0.518;sdbc
2007;OAANBODBAO_R;7.0;0.559;sdbc
2005;OAANBODBAO_R;6.8;0.543;sdbc
2021;OARBKENMIGR_P;5.9;4.699;sdbc
2020;OARBKENMIGR_P;8.0;1.983;sdbc
2019;OARBKENMIGR_P;10.9;9.428;sdbc
2018;OARBKENMIGR_P;11.1;7.654;sdbc
2017;OARBKENMIGR_P;8.9;6.655;sdbc
2016;OARBKENMIGR_P;7.0;5.335;sdbc
2015;OARBKENMIGR_P;5.4;5.715;sdbc
2014;OARBKENMIGR_P;4.2;5.101;sdbc
2021;OLSV_P;7.9;4.354;sdbc
2020;OLSV_P;9.0;2.237;sdbc
2019;OLSV_P;9.0;3.875;sdbc
2018;OLSV_P;8.0;3.722;sdbc
2017;OLSV_P;8.6;5.796;sdbc
2016;OLSV_P;8.5;5.34;sdbc
2015;OLSV_P;8.4;5.036;sdbc
2014;OLSV_P;9.1;5.238;sdbc
2013;OLSV_P;9.4;4.482;sdbc
2012;OLSV_P;10.6;4.724;sdbc
2011;OLSV_P;11.9;5.079;sdbc
2021;OSCHGAAND_P;14.9;6.596;sdbc
2020;OSCHGAAND_P;16.7;4.345;sdbc
2019;OSCHGAAND_P;18.4;7.257;sdbc
2018;OSCHGAAND_P;18.8;7.774;sdbc
2017;OSCHGAAND_P;18.3;7.637;sdbc
2016;OSCHGAAND_P;17.9;7.485;sdbc
2015;OSCHGAAND_P;16.5;7.594;sdbc
2014;OSCHGAAND_P;18.5;9.757;sdbc
2013;OSCHGAAND_P;16.2;6.827;sdbc
2012;OSCHGAAND_P;17.0;7.543;sdbc
2011;OSCHGAAND_P;16.8;7.215;sdbc
2021;OSTARTKWAL_P;71.3;10.506;sdbc
2020;OSTARTKWAL_P;66.3;4.618;sdbc
2019;OSTARTKWAL_P;61.8;10.464;sdbc
2018;OSTARTKWAL_P;62.1;9.85;sdbc
2017;OSTARTKWAL_P;64.2;11.289;sdbc
2016;OSTARTKWAL_P;66.6;11.234;sdbc
2015;OSTARTKWAL_P;69.6;12.314;sdbc
2014;OSTARTKWAL_P;68.3;11.487;sdbc
2013;OSTARTKWAL_P;69.9;11.083;sdbc
2012;OSTARTKWAL_P;68.5;10.755;sdbc
2011;OSTARTKWAL_P;65.6;11.049;sdbc
2022;OSTRFLEZ_P;69.0;19.709;sdbc
2021;OSTRFLEZ_P;70.0;16.367;sdbc
2020;OSTRFLEZ_P;73.0;15.408;sdbc
2018;OSTRFLEZ_P;73.0;15.095;sdbc
2017;OSTRFLEZ_P;71.0;17.122;sdbc
2016;OSTRFLEZ_P;64.0;17.571;sdbc
2022;OSTRFREK_P;44.0;16.53;sdbc
2021;OSTRFREK_P;42.0;16.474;sdbc
2020;OSTRFREK_P;45.0;15.491;sdbc
2018;OSTRFREK_P;45.0;14.05;sdbc
2017;OSTRFREK_P;46.0;14.79;sdbc
2016;OSTRFREK_P;47.0;14.988;sdbc
2022;OSTRFTAAL_P;59.0;16.537;sdbc
2021;OSTRFTAAL_P;59.0;15.207;sdbc
2020;OSTRFTAAL_P;58.0;14.637;sdbc
2018;OSTRFTAAL_P;59.0;13.665;sdbc
2017;OSTRFTAAL_P;59.0;13.783;sdbc
2016;OSTRFTAAL_P;57.0;15.016;sdbc
2022;OSTUDHBO_P;2.8;1.491;sdbc
2021;OSTUDHBO_P;2.9;4.889;sdbc
2020;OSTUDHBO_P;2.8;4.113;sdbc
2019;OSTUDHBO_P;2.8;1.942;sdbc
2018;OSTUDHBO_P;2.7;2.212;sdbc
2017;OSTUDHBO_P;2.9;2.657;sdbc
2016;OSTUDHBO_P;3.0;4.557;sdbc
2015;OSTUDHBO_P;3.1;3.615;sdbc
2014;OSTUDHBO_P;3.2;2.681;sdbc
2013;OSTUDHBO_P;3.2;2.385;sdbc
2022;OSTUDMBO_P;2.0;1.336;sdbc
2021;OSTUDMBO_P;2.1;1.458;sdbc
2020;OSTUDMBO_P;2.1;1.463;sdbc
2019;OSTUDMBO_P;2.0;1.37;sdbc
2018;OSTUDMBO_P;2.0;1.455;sdbc
2017;OSTUDMBO_P;2.0;1.305;sdbc
2016;OSTUDMBO_P;2.0;1.367;sdbc
2015;OSTUDMBO_P;2.1;1.286;sdbc
2014;OSTUDMBO_P;2.2;1.317;sdbc
2013;OSTUDMBO_P;2.3;1.402;sdbc
2022;OSTUDWO_P;4.1;7.012;sdbc
2021;OSTUDWO_P;4.1;32.638;sdbc
2020;OSTUDWO_P;3.9;8.52;sdbc
2019;OSTUDWO_P;3.6;4.157;sdbc
2018;OSTUDWO_P;3.5;4.401;sdbc
2017;OSTUDWO_P;3.4;4.561;sdbc
2016;OSTUDWO_P;3.5;6.33;sdbc
2015;OSTUDWO_P;3.7;5.65;sdbc
2014;OSTUDWO_P;3.8;5.19;sdbc
2013;OSTUDWO_P;3.8;5.53;sdbc
2021;OTOETSH_P;21.0;13.738;sdbc
2020;OTOETSH_P;23.0;15.034;sdbc
2018;OTOETSH_P;26.0;16.816;sdbc
2017;OTOETSH_P;19.0;12.8;sdbc
2016;OTOETSH_P;18.0;11.527;sdbc
2021;OTOETSL_P;50.0;15.859;sdbc
2020;OTOETSL_P;46.0;14.184;sdbc
2018;OTOETSL_P;47.0;15.411;sdbc
2017;OTOETSL_P;45.0;15.443;sdbc
2016;OTOETSL_P;41.0;14.028;sdbc
2023;OVVEDEELN_P;72.0;10.262;sdbc
2022;OVVEDEELN_P;71.0;12.946;sdbc
2021;OVVEDEELN_P;71.0;10.054;sdbc
2020;OVVEDEELN_P;71.0;11.278;sdbc
2019;OVVEDEELN_P;72.0;12.677;sdbc
2018;OVVEDEELN_P;73.0;11.67;sdbc
2017;OVVEDEELN_P;85.0;12.38;sdbc
2016;OVVEDEELN_P;88.0;8.949;sdbc
2015;OVVEDEELN_P;85.0;11.324;sdbc
2014;OVVEDEELN_P;74.0;12.206;sdbc
2013;OVVEDEELN_P;63.0;15.117;sdbc
2023;OVVEINDI_P;24.0;14.043;sdbc
2022;OVVEINDI_P;24.0;13.306;sdbc
2021;OVVEINDI_P;23.0;14.57;sdbc
2020;OVVEINDI_P;23.0;14.588;sdbc
2019;OVVEINDI_P;22.0;13.298;sdbc
2018;OVVEINDI_P;25.0;15.26;sdbc
2017;OVVEINDI_P;32.0;18.714;sdbc
2016;OVVEINDI_P;34.0;18.092;sdbc
2015;OVVEINDI_P;37.0;19.194;sdbc
2014;OVVEINDI_P;43.0;20.473;sdbc
2013;OVVEINDI_P;47.0;20.218;sdbc
2024;BEV0_3_P;3.8;1.443;sdbc
2023;BEV0_3_P;3.9;1.51;sdbc
2022;BEV0_3_P;4.1;1.371;sdbc
2021;BEV0_3_P;4.2;1.256;sdbc
2020;BEV0_3_P;4.3;1.212;sdbc
2019;BEV0_3_P;4.4;1.163;sdbc
2018;BEV0_3_P;4.5;1.108;sdbc
2017;BEV0_3_P;4.6;1.144;sdbc
2016;BEV0_3_P;4.7;1.211;sdbc
2015;BEV0_3_P;4.9;1.396;sdbc
2014;BEV0_3_P;5.0;1.461;sdbc
2013;BEV0_3_P;5.1;1.533;sdbc
2012;BEV0_3_P;5.1;1.528;sdbc
2011;BEV0_3_P;5.1;1.689;sdbc
2010;BEV0_3_P;5.0;1.755;sdbc
2009;BEV0_3_P;5.0;1.802;sdbc
2008;BEV0_3_P;4.9;1.605;sdbc
2007;BEV0_3_P;5.0;1.604;sdbc
2006;BEV0_3_P;5.1;1.662;sdbc
2005;BEV0_3_P;5.1;1.652;sdbc
2024;BEV65PLUS_P;13.6;5.524;sdbc
2023;BEV65PLUS_P;13.4;5.476;sdbc
2022;BEV65PLUS_P;13.1;5.4;sdbc
2021;BEV65PLUS_P;13.0;5.365;sdbc
2020;BEV65PLUS_P;12.7;5.185;sdbc
2019;BEV65PLUS_P;12.5;5.184;sdbc
2018;BEV65PLUS_P;12.4;5.222;sdbc
2017;BEV65PLUS_P;12.1;5.204;sdbc
2016;BEV65PLUS_P;12.0;5.199;sdbc
2015;BEV65PLUS_P;11.9;5.288;sdbc
2014;BEV65PLUS_P;11.7;5.486;sdbc
2013;BEV65PLUS_P;11.6;5.615;sdbc
2012;BEV65PLUS_P;11.3;5.573;sdbc
2011;BEV65PLUS_P;11.0;5.664;sdbc
2010;BEV65PLUS_P;11.1;5.876;sdbc
2009;BEV65PLUS_P;11.1;6.053;sdbc
2008;BEV65PLUS_P;11.2;6.135;sdbc
2007;BEV65PLUS_P;11.2;6.307;sdbc
2006;BEV65PLUS_P;11.3;6.446;sdbc
2005;BEV65PLUS_P;11.3;6.597;sdbc
2024;BEV4_12_P;7.6;3.188;sdbc
2023;BEV4_12_P;7.8;3.177;sdbc
2022;BEV4_12_P;8.0;3.213;sdbc
2021;BEV4_12_P;8.2;3.771;sdbc
2020;BEV4_12_P;8.3;3.156;sdbc
2019;BEV4_12_P;8.4;3.3;sdbc
2018;BEV4_12_P;8.5;3.435;sdbc
2017;BEV4_12_P;8.7;3.426;sdbc
2016;BEV4_12_P;8.8;3.487;sdbc
2015;BEV4_12_P;8.8;3.566;sdbc
2014;BEV4_12_P;8.8;3.581;sdbc
2013;BEV4_12_P;8.8;3.64;sdbc
2012;BEV4_12_P;8.8;3.548;sdbc
2011;BEV4_12_P;8.9;3.5;sdbc
2010;BEV4_12_P;9.0;3.53;sdbc
2009;BEV4_12_P;9.0;3.473;sdbc
2008;BEV4_12_P;9.0;3.525;sdbc
2007;BEV4_12_P;9.0;3.448;sdbc
2006;BEV4_12_P;9.0;3.515;sdbc
2005;BEV4_12_P;9.1;3.439;sdbc
2050;BEV0_17_PROG_P;15.6;5.211;sdbc
2049;BEV0_17_PROG_P;15.6;5.355;sdbc
2048;BEV0_17_PROG_P;15.5;5.37;sdbc
2047;BEV0_17_PROG_P;15.5;5.384;sdbc
2046;BEV0_17_PROG_P;15.4;5.398;sdbc
2045;BEV0_17_PROG_P;15.4;5.429;sdbc
2044;BEV0_17_PROG_P;15.3;5.43;sdbc
2043;BEV0_17_PROG_P;15.2;5.444;sdbc
2042;BEV0_17_PROG_P;15.1;5.462;sdbc
2041;BEV0_17_PROG_P;15.0;5.469;sdbc
2040;BEV0_17_PROG_P;14.8;5.502;sdbc
2039;BEV0_17_PROG_P;14.8;5.688;sdbc
2038;BEV0_17_PROG_P;14.7;5.719;sdbc
2037;BEV0_17_PROG_P;14.6;5.756;sdbc
2036;BEV0_17_PROG_P;14.6;5.797;sdbc
2035;BEV0_17_PROG_P;14.6;5.847;sdbc
2034;BEV0_17_PROG_P;14.6;5.889;sdbc
2033;BEV0_17_PROG_P;14.6;5.893;sdbc
2032;BEV0_17_PROG_P;14.6;5.953;sdbc
2031;BEV0_17_PROG_P;14.6;6.134;sdbc
2030;BEV0_17_PROG_P;14.7;5.886;sdbc
2029;BEV0_17_PROG_P;14.8;5.766;sdbc
2028;BEV0_17_PROG_P;15.0;5.73;sdbc
2027;BEV0_17_PROG_P;15.1;5.714;sdbc
2026;BEV0_17_PROG_P;15.3;5.763;sdbc
2025;BEV0_17_PROG_P;15.5;5.786;sdbc
2024;BEV13_17_P;4.3;1.881;sdbc
2023;BEV13_17_P;4.4;1.956;sdbc
2022;BEV13_17_P;4.3;2.007;sdbc
2021;BEV13_17_P;4.3;1.982;sdbc
2020;BEV13_17_P;4.3;1.76;sdbc
2019;BEV13_17_P;4.3;1.834;sdbc
2018;BEV13_17_P;4.4;1.804;sdbc
2017;BEV13_17_P;4.4;1.709;sdbc
2016;BEV13_17_P;4.3;1.976;sdbc
2015;BEV13_17_P;4.4;2.293;sdbc
2014;BEV13_17_P;4.3;2.806;sdbc
2013;BEV13_17_P;4.3;3.275;sdbc
2012;BEV13_17_P;4.3;1.806;sdbc
2011;BEV13_17_P;4.3;1.924;sdbc
2010;BEV13_17_P;4.4;1.846;sdbc
2009;BEV13_17_P;4.5;1.87;sdbc
2008;BEV13_17_P;4.6;1.984;sdbc
2007;BEV13_17_P;4.7;2.065;sdbc
2006;BEV13_17_P;4.7;2.044;sdbc
2005;BEV13_17_P;4.7;2.043;sdbc
2024;BEV0_17_P;15.8;5.912;sdbc
2023;BEV0_17_P;16.1;6.058;sdbc
2022;BEV0_17_P;16.4;6.11;sdbc
2021;BEV0_17_P;16.7;6.297;sdbc
2020;BEV0_17_P;16.9;5.5;sdbc
2019;BEV0_17_P;17.2;5.696;sdbc
2018;BEV0_17_P;17.4;5.786;sdbc
2017;BEV0_17_P;17.6;5.7;sdbc
2016;BEV0_17_P;17.8;5.819;sdbc
2015;BEV0_17_P;18.1;6.02;sdbc
2014;BEV0_17_P;18.2;6.227;sdbc
2013;BEV0_17_P;18.2;6.386;sdbc
2012;BEV0_17_P;18.2;6.257;sdbc
2011;BEV0_17_P;18.3;6.267;sdbc
2010;BEV0_17_P;18.4;6.503;sdbc
2009;BEV0_17_P;18.4;6.561;sdbc
2008;BEV0_17_P;18.5;6.486;sdbc
2007;BEV0_17_P;18.7;6.443;sdbc
2006;BEV0_17_P;18.8;6.438;sdbc
2005;BEV0_17_P;18.9;6.33;sdbc
2024;BEV0_18_P;16.8;6.063;sdbc
2023;BEV0_18_P;17.1;6.116;sdbc
2022;BEV0_18_P;17.4;6.173;sdbc
2021;BEV0_18_P;17.7;6.246;sdbc
2020;BEV0_18_P;17.9;5.697;sdbc
2019;BEV0_18_P;18.2;5.915;sdbc
2018;BEV0_18_P;18.3;5.916;sdbc
2017;BEV0_18_P;18.6;5.902;sdbc
2016;BEV0_18_P;18.8;6.022;sdbc
2015;BEV0_18_P;19.0;6.207;sdbc
2014;BEV0_18_P;19.1;6.413;sdbc
2013;BEV0_18_P;19.2;6.576;sdbc
2012;BEV0_18_P;19.2;6.489;sdbc
2011;BEV0_18_P;19.4;6.445;sdbc
2010;BEV0_18_P;19.4;6.704;sdbc
2009;BEV0_18_P;19.5;6.828;sdbc
2008;BEV0_18_P;19.6;6.714;sdbc
2007;BEV0_18_P;19.7;6.683;sdbc
2006;BEV0_18_P;19.8;6.572;sdbc
2005;BEV0_18_P;20.0;6.507;sdbc
2024;BEV18_26_P;15.1;7.441;sdbc
2023;BEV18_26_P;14.8;9.169;sdbc
2022;BEV18_26_P;14.7;10.362;sdbc
2021;BEV18_26_P;14.1;9.583;sdbc
2020;BEV18_26_P;14.2;7.812;sdbc
2019;BEV18_26_P;14.4;8.434;sdbc
2018;BEV18_26_P;14.6;8.867;sdbc
2017;BEV18_26_P;14.7;8.56;sdbc
2016;BEV18_26_P;14.6;8.11;sdbc
2015;BEV18_26_P;14.5;7.815;sdbc
2014;BEV18_26_P;14.4;8.078;sdbc
2013;BEV18_26_P;14.4;8.517;sdbc
2012;BEV18_26_P;14.3;8.535;sdbc
2011;BEV18_26_P;14.2;8.796;sdbc
2010;BEV18_26_P;13.9;8.88;sdbc
2009;BEV18_26_P;13.8;9.299;sdbc
2008;BEV18_26_P;13.5;9.336;sdbc
2007;BEV18_26_P;13.1;9.33;sdbc
2006;BEV18_26_P;12.8;8.818;sdbc
2005;BEV18_26_P;12.4;4.917;sdbc
2024;BEV18_64_P;70.7;8.638;sdbc
2023;BEV18_64_P;70.5;8.535;sdbc
2022;BEV18_64_P;70.5;8.605;sdbc
2021;BEV18_64_P;70.3;8.494;sdbc
2020;BEV18_64_P;70.4;8.095;sdbc
2019;BEV18_64_P;70.3;8.248;sdbc
2018;BEV18_64_P;70.3;8.345;sdbc
2017;BEV18_64_P;70.2;8.14;sdbc
2016;BEV18_64_P;70.2;8.021;sdbc
2015;BEV18_64_P;70.1;8.033;sdbc
2014;BEV18_64_P;70.1;8.172;sdbc
2013;BEV18_64_P;70.2;8.492;sdbc
2012;BEV18_64_P;70.4;8.519;sdbc
2011;BEV18_64_P;70.6;8.551;sdbc
2024;BEV27_65_P;56.5;5.494;sdbc
2023;BEV27_65_P;56.6;6.6;sdbc
2022;BEV27_65_P;56.7;7.32;sdbc
2021;BEV27_65_P;57.1;6.976;sdbc
2020;BEV27_65_P;57.0;6.319;sdbc
2019;BEV27_65_P;56.8;7.12;sdbc
2018;BEV27_65_P;56.6;7.424;sdbc
2017;BEV27_65_P;56.5;7.084;sdbc
2016;BEV27_65_P;56.5;7.129;sdbc
2015;BEV27_65_P;56.5;7.011;sdbc
2014;BEV27_65_P;56.6;7.426;sdbc
2013;BEV27_65_P;56.8;7.443;sdbc
2012;BEV27_65_P;57.1;7.87;sdbc
2011;BEV27_65_P;57.1;7.826;sdbc
2010;BEV27_65_P;57.4;7.779;sdbc
2009;BEV27_65_P;57.4;8.036;sdbc
2008;BEV27_65_P;57.5;8.198;sdbc
2007;BEV27_65_P;57.6;8.33;sdbc
2006;BEV27_65_P;57.9;8.229;sdbc
2005;BEV27_65_P;58.0;7.681;sdbc
2024;BEV66PLUS_P;12.6;5.238;sdbc
2023;BEV66PLUS_P;12.5;5.223;sdbc
2022;BEV66PLUS_P;12.2;5.135;sdbc
2021;BEV66PLUS_P;12.1;5.119;sdbc
2020;BEV66PLUS_P;11.8;4.931;sdbc
2019;BEV66PLUS_P;11.6;4.971;sdbc
2018;BEV66PLUS_P;11.4;5.015;sdbc
2017;BEV66PLUS_P;11.3;4.946;sdbc
2016;BEV66PLUS_P;11.1;5.004;sdbc
2015;BEV66PLUS_P;11.0;5.095;sdbc
2014;BEV66PLUS_P;10.8;5.255;sdbc
2013;BEV66PLUS_P;10.6;5.295;sdbc
2012;BEV66PLUS_P;10.3;5.28;sdbc
2011;BEV66PLUS_P;10.3;5.453;sdbc
2010;BEV66PLUS_P;10.4;5.667;sdbc
2009;BEV66PLUS_P;10.4;5.852;sdbc
2008;BEV66PLUS_P;10.5;5.922;sdbc
2007;BEV66PLUS_P;10.6;6.166;sdbc
2006;BEV66PLUS_P;10.6;6.251;sdbc
2005;BEV66PLUS_P;10.6;6.358;sdbc
2024;BEV65_74_P;7.9;2.997;sdbc
2023;BEV65_74_P;7.9;3.028;sdbc
2022;BEV65_74_P;7.9;3.158;sdbc
2021;BEV65_74_P;8.0;3.19;sdbc
2020;BEV65_74_P;7.8;3.01;sdbc
2019;BEV65_74_P;7.6;2.813;sdbc
2018;BEV65_74_P;7.5;2.819;sdbc
2017;BEV65_74_P;7.4;2.757;sdbc
2016;BEV65_74_P;7.2;2.695;sdbc
2015;BEV65_74_P;7.1;2.654;sdbc
2014;BEV65_74_P;6.9;2.597;sdbc
2013;BEV65_74_P;6.7;2.6;sdbc
2012;BEV65_74_P;6.4;2.469;sdbc
2011;BEV65_74_P;6.0;2.376;sdbc
2010;BEV65_74_P;6.0;2.483;sdbc
2009;BEV65_74_P;5.9;2.497;sdbc
2008;BEV65_74_P;5.8;2.532;sdbc
2007;BEV65_74_P;5.8;2.611;sdbc
2006;BEV65_74_P;5.8;2.722;sdbc
2005;BEV65_74_P;5.7;2.807;sdbc
2024;BEV75PLUS_P;5.6;2.971;sdbc
2023;BEV75PLUS_P;5.5;2.958;sdbc
2022;BEV75PLUS_P;5.2;2.824;sdbc
2021;BEV75PLUS_P;5.0;2.754;sdbc
2020;BEV75PLUS_P;4.9;2.779;sdbc
2019;BEV75PLUS_P;4.9;2.835;sdbc
2018;BEV75PLUS_P;4.8;2.886;sdbc
2017;BEV75PLUS_P;4.8;2.905;sdbc
2016;BEV75PLUS_P;4.8;2.998;sdbc
2015;BEV75PLUS_P;4.8;3.14;sdbc
2014;BEV75PLUS_P;4.8;3.296;sdbc
2013;BEV75PLUS_P;4.9;3.416;sdbc
2012;BEV75PLUS_P;5.0;3.454;sdbc
2011;BEV75PLUS_P;5.0;3.586;sdbc
2010;BEV75PLUS_P;5.1;3.722;sdbc
2009;BEV75PLUS_P;5.2;3.841;sdbc
2008;BEV75PLUS_P;5.4;3.879;sdbc
2007;BEV75PLUS_P;5.4;3.968;sdbc
2006;BEV75PLUS_P;5.5;3.991;sdbc
2005;BEV75PLUS_P;5.6;4.071;sdbc
2024;BEV80PLUS_P;2.9;1.76;sdbc
2023;BEV80PLUS_P;2.8;1.78;sdbc
2022;BEV80PLUS_P;2.8;1.749;sdbc
2021;BEV80PLUS_P;2.8;1.798;sdbc
2020;BEV80PLUS_P;2.7;1.861;sdbc
2019;BEV80PLUS_P;2.7;1.906;sdbc
